Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
24‑Feb‑2020,Acapulco,Hard,R16,35,43,Fritz d. Ugo Humbert [FRA],6-4 6-1,1.58,7.10%,1.80%,60.70%,79.40%,50.00%,0/1,1:19:00,
24‑Feb‑2020,Acapulco,Hard,R32,35,40,Fritz d. John Millman [AUS],7-5 3-6 6-1,1.6,14.30%,2.60%,62.30%,77.10%,72.40%,1/2,1:56:00,
6‑Mar‑2020,Davis Cup QLS R1: USA vs UZB,Hard,RR,24,498,Fritz d. Sanjar Fayziev [UZB],6-1 6-2,1.82,18.00%,4.00%,56.00%,78.60%,63.60%,3/3,1:05:00,
24‑Aug‑2020,Cincinnati Masters,Hard,R32,24,61,(Q)Aljaz Bedene [SLO] d. Fritz,7-6(5) 7-5,1.01,14.10%,1.40%,63.40%,73.30%,61.50%,4/6,1:44:00,
24‑Aug‑2020,Cincinnati Masters,Hard,R64,24,97,Fritz d. (Q)Lloyd Harris [RSA],6-1 6-3,2.65,23.10%,2.60%,56.40%,100.00%,58.80%,0/0,0:52:00,
12‑Oct‑2020,St Petersburg,Hard,R32,28,75,Cameron Norrie [GBR] d. (8)Fritz,6-4 4-6 6-3,1.06,16.70%,0.00%,57.70%,86.70%,45.50%,0/2,1:56:00,
19‑Oct‑2020,Antwerp,Hard,R16,28,90,(Q)Lloyd Harris [RSA] d. (7)Fritz,7-5 7-6(3),0.75,9.40%,2.10%,59.40%,73.70%,51.30%,10/11,1:53:00,
19‑Oct‑2020,Antwerp,Hard,R32,28,33,(7)Fritz d. Reilly Opelka [USA],7-6(5) 6-1,1.67,16.90%,1.70%,74.60%,88.60%,40.00%,0/0,1:07:00,
26‑Oct‑2020,Vienna,Hard,R32,29,24,Borna Coric [CRO] d. Fritz,6-4 6-4,0.77,17.90%,0.00%,59.70%,75.00%,48.10%,1/3,1:28:00,
2‑Nov‑2020,Paris Masters,Hard,R64,29,56,Richard Gasquet [FRA] d. Fritz,6-0 3-6 6-3,0.87,16.70%,6.10%,56.10%,81.10%,31.00%,4/8,1:36:00,
1‑Feb‑2021,Murray River Open,Hard,R16,30,66,Jeremy Chardy [FRA] d. (6)Fritz,6-2 6-4,0.65,0.00%,4.50%,54.50%,58.30%,60.00%,2/6,1:07:00,
1‑Feb‑2021,Murray River Open,Hard,R32,30,92,(6)Fritz d. Federico Coria [ARG],6-2 6-1,2.63,19.00%,2.40%,71.40%,80.00%,83.30%,2/2,0:52:00,
8‑Mar‑2021,Doha,Hard,SF,33,42,Nikoloz Basilashvili [GEO] d. Fritz,7-6(3) 6-1,0.68,12.50%,1.60%,64.10%,68.30%,43.50%,4/7,1:15:00,
